[23,73] [57,91]|(1 [-1,20,83] [-24,97,73]);(2 [-12,-54,-71] [49,-66,-91]);(3 [84,52,56] [-19,73,73]);(4 [-82,93,-33] [19,20,-40]);(5 [68,-99,-17] [-82,-41,21]);(6 [25,-18,95] [80,94,-73]);(7 [29,-72,38] [-76,-20,-27]);(8 [-68,-68,84] [-86,-82,-47]);(9 [84,73,-24] [46,-26,64]);(10 [71,41,19] [-15,-22,30])
[64,14] [88,70]|(1 [-21,92,25] [-85,-27,-12]);(2 [41,-71,-84] [12,-36,8]);(3 [-17,35,-22] [20,50,-63]);(4 [-82,-11,6] [5,1,87]);(5 [8,-44,-49] [75,-65,41])
[0,0] [1,0]|(1 [2,3,5] [42,61,10]);(2 [5,6,6] [12,3,7]);(3 [51,51,51] [101,101,101])
[29,9] [1,99]|(1 [46,-42,74] [-39,-69,-90]);(2 [79,15,-84] [-76,-23,-33]);(3 [31,62,15] [-25,-99,5]);(4 [80,-23,47] [-74,-9,-72]);(5 [-20,51,14] [39,-68,12]);(6 [78,-71,-54] [44,81,-34]);(7 [37,-1,-84] [-70,-66,49]);(8 [-47,-25,-98] [-67,4,-83]);(9 [-98,-96,74] [-68,-15,58]);(10 [-13,57,77] [81,65,39]);(11 [72,-8,1] [87,19,-41]);(12 [-67,70,-65] [36,80,-43]);(13 [-64,-88,15] [27,-81,81]);(14 [76,-25,1] [17,34,-54])
[74,51] [54,3]|(1 [3,-71,-51] [-90,-60,-18]);(2 [87,-93,46] [24,54,2]);(3 [-83,-38,15] [45,90,-82]);(4 [22,48,-66] [73,-38,49]);(5 [-90,-5,41] [97,-89,78]);(6 [-28,86,-3] [-58,-12,-6]);(7 [7,34,-14] [-79,57,-86]);(8 [-87,37,64] [-26,12,-88])
[24,57] [78,41]|(1 [26,42,-98] [70,-67,-90]);(2 [-45,44,51] [93,36,84]);(3 [80,24,63] [85,74,72]);(4 [22,-17,92] [21,91,-100]);(5 [-21,-96,-37] [58,36,29]);(6 [2,58,60] [50,8,26]);(7 [23,84,-4] [69,23,-25]);(8 [-48,-3,-28] [-35,41,99]);(9 [-34,1,-55] [-54,85,-60]);(10 [99,70,-13] [-67,47,-62]);(11 [12,-34,60] [-77,-12,-76])
[5,42] [83,35]|(1 [-12,48,13] [72,80,-72]);(2 [9,13,-53] [-98,6,46]);(3 [88,72,57] [-36,-76,28]);(4 [95,-26,69] [2,68,7]);(5 [72,9,-88] [52,66,-36]);(6 [-17,-15,-81] [55,-44,-61])
[39,99] [88,77]|(1 [21,-12,-38] [88,-66,-99]);(2 [83,97,-78] [-71,-82,-27]);(3 [-15,68,-43] [-13,61,-81]);(4 [59,1,-19] [-7,48,74]);(5 [55,-60,24] [87,-4,35]);(6 [-65,-63,41] [49,-15,-13]);(7 [89,60,70] [9,-82,64]);(8 [60,76,19] [61,57,59]);(9 [20,22,-69] [-85,76,-58]);(10 [-21,18,84] [-67,97,-37]);(11 [-55,-3,59] [-86,-86,-95]);(12 [-88,-76,-90] [-82,38,33]);(13 [37,-34,-47] [62,99,-63]);(14 [79,86,92] [-81,86,-69]);(15 [69,80,-84] [-52,-38,18])
[91,18] [100,34]|(1 [-79,-10,-2] [-51,50,-99]);(2 [69,64,-33] [41,89,-95]);(3 [35,50,-81] [-54,-19,60]);(4 [-50,-48,-20] [67,-12,25]);(5 [17,-90,22] [-39,100,-45]);(6 [-62,91,76] [-24,7,92])
[0,0] [1,1]|(1 [1,2,3] [2,3,4]);(2 [0,0,0] [100,100,100])
