1: ([37.697600, -122.330519], [37.612340, -122.267371])
2: ([37.531340, -122.098625], [37.679156, -122.123830])
3: ([37.558628, -122.163298], [37.729452, -122.334101])
4: ([37.797410, -122.127556], [37.784521, -122.026826])
5: ([37.766565, -122.286708], [37.799820, -122.253583])
6: ([37.631834, -122.170822], [37.662033, -122.099533])
7: ([37.761101, -122.092779], [37.557259, -122.191523])
8: ([37.676475, -122.333848], [37.708186, -122.237269])
9: ([37.819595, -122.171357], [37.486333, -122.082082])
10: ([37.643455, -122.171018], [37.635115, -122.327790])
11: ([37.648450, -122.232682], [37.657981, -122.084739])
12: ([37.578928, -122.104834], [37.702607, -122.171479])
13: ([37.457340, -122.238276], [37.538046, -122.053943])
14: ([37.569350, -122.205589], [37.516158, -122.330836])
15: ([37.637064, -122.262866], [37.807904, -122.282972])
